#id             x        y        V       eV       UB     eUB        BV      eBV       VI      eVI       JH      eJH       HK      eHK    m_ini
2402       521.66   226.31    20.24     0.14     1.12     0.14     1.00     0.14     1.61     0.14     0.33     0.14     0.24     0.14   0.0000
2403      1627.81  1261.80    18.81     0.16     0.21     0.16     0.57     0.16     0.75     0.16    -0.16     0.16     0.39     0.16   0.0000
2404      1785.25  1616.70    17.58     0.12    -0.49     0.12    -0.34     0.12     0.10     0.12    -0.37     0.12     0.16     0.12   0.0000
2407      1429.54  1243.75    19.99     0.12     1.52     0.12     1.67     0.12     1.78     0.12     0.47     0.12     0.14     0.12   0.0000
2408       523.44  1102.61    19.78     0.13     1.13     0.13     1.39     0.13     1.66     0.13     0.51     0.13     0.13     0.13   0.0000
2409        50.41  1711.47    20.24     0.23     2.35     0.23     2.53     0.23     3.08     0.23    -0.15     0.23     0.00     0.23   0.0000
2410        51.74  1703.26    19.34     0.16     0.71     0.16     0.76     0.16     1.13     0.16     0.38     0.16    -0.06     0.16   0.0000
2413      1587.99   376.12    19.11     0.12     0.63     0.12     0.76     0.12     1.07     0.12     0.27     0.12     0.35     0.12   0.0000
2414      1132.43   661.56    20.09     0.16     0.95     0.16     1.34     0.16     1.49     0.16     0.42     0.16     0.31     0.16   0.0000
2416      1818.29   387.47    18.98     0.15     0.47     0.15     1.10     0.15     1.24     0.15     0.42     0.15     0.34     0.15   0.0000
2418      1951.66  2029.45    19.75     0.15     2.07     0.15     2.11     0.15     2.26     0.15    -0.20     0.15     0.12     0.15   0.0000
2419      1439.44   127.86    20.64     0.21     1.34     0.21     1.51     0.21     1.74     0.21     1.05     0.21    -0.04     0.21   0.0000
2420        25.44   433.29    19.63     0.17     0.87     0.17     1.36     0.17     1.59     0.17     0.65     0.17     0.20     0.17   0.0000
2423       786.74   521.14    20.10     0.21     1.97     0.21     2.57     0.21     2.44     0.21    -0.23     0.21    -0.20     0.21   0.0000
2424      1645.56   642.44    20.13     0.25     1.32     0.25     1.17     0.25     1.64     0.25     0.78     0.25     0.51     0.25   0.0000
2425      1503.51  2046.91    19.67     0.18     0.97     0.18     1.24     0.18     1.98     0.18     0.74     0.18     0.36     0.18   0.0000
2426       373.91  1926.84    18.96     0.16     0.81     0.16     0.81     0.16     0.91     0.16     0.34     0.16     0.24     0.16   0.0000
2427        81.83   813.53    20.16     0.16     1.18     0.16     1.21     0.16     1.22     0.16     0.98     0.16     0.53     0.16   0.0000
2428       188.73  1685.16    20.26     0.23     1.33     0.23     1.54     0.23     1.96     0.23     0.84     0.23     0.16     0.23   0.0000
2429       111.15  1679.20    20.01     0.18     1.86     0.18     1.71     0.18     1.77     0.18     0.15     0.18     0.48     0.18   0.0000
2430        38.06  1714.21    20.03     0.21     1.69     0.21     1.55     0.21     1.89     0.21     0.86     0.21     0.66     0.21   0.0000
2431      1817.35   390.74    19.14     0.18     0.82     0.18     0.74     0.18     1.14     0.18     0.27     0.18     0.26     0.18   0.0000
2432      1877.18  1858.71    20.79     0.19     1.81     0.19     1.38     0.19     1.66     0.19     0.90     0.19     0.22     0.19   0.0000
2433      1302.81   501.48    19.58     0.14     1.10     0.14     1.06     0.14     1.41     0.14     0.29     0.14     0.30     0.14   0.0000
2434        49.35   639.29    19.34     0.18     1.56     0.18     1.59     0.18     1.92     0.18     0.57     0.18     0.08     0.18   0.0000
2435      1609.42  1222.49    20.04     0.13     0.86     0.13     1.33     0.13     1.87     0.13     0.61     0.13     0.32     0.13   0.0000
2436      1276.14  1180.48    20.62     0.23     1.60     0.23     1.42     0.23     2.05     0.23     0.61     0.23     0.34     0.23   0.0000
2437      1097.02  1447.25    19.69     0.16     1.03     0.16     1.26     0.16     1.94     0.16     0.30     0.16     0.07     0.16   0.0000
2438        42.13  1121.31    19.96     0.20     0.94     0.20     0.98     0.20     1.51     0.20     0.20     0.20     0.22     0.20   0.0000
2440      1980.25  1749.39    19.87     0.17     1.21     0.17     1.39     0.17     1.40     0.17     0.92     0.17     0.10     0.17   0.0000
2441      1479.11  1262.02    19.27     0.09     0.71     0.09     0.98     0.09     1.23     0.09     0.37     0.09     0.21     0.09   0.0000
2443       484.92  1833.79    20.29     0.19     1.55     0.19     1.93     0.19     2.08     0.19     0.15     0.19     0.04     0.19   0.0000
2445      1246.33  1312.46    19.15     0.12     0.60     0.12     0.70     0.12     0.94     0.12     0.20     0.12     0.38     0.12   0.0000
2446      1499.42  1306.63    20.08     0.21     1.06     0.21     1.30     0.21     1.93     0.21     0.67     0.21     0.48     0.21   0.0000
2447      2036.05   236.09    19.76     0.20     0.90     0.20     1.33     0.20     1.70     0.20     0.46     0.20     0.28     0.20   0.0000
2448      1716.53   674.92    19.66     0.14     0.88     0.14     1.16     0.14     1.34     0.14     0.58     0.14     0.26     0.14   0.0000
2449      1433.20   779.05    19.97     0.21     1.02     0.21     0.95     0.21     1.42     0.21     0.30     0.21     0.57     0.21   0.0000
2451       200.64   186.43    20.18     0.19     2.17     0.19     2.12     0.19     2.28     0.19    -0.23     0.19     0.02     0.19   0.0000
2452       410.91  1168.49    18.91     0.17     0.73     0.17     0.86     0.17     1.29     0.17     0.25     0.17     0.30     0.17   0.0000
2453      1180.32   426.20    19.69     0.18     2.51     0.18     2.52     0.18     2.88     0.18    -0.31     0.18    -0.11     0.18   0.0000
2454      1677.58  1890.27    19.52     0.20     0.96     0.20     1.07     0.20     1.52     0.20     0.31     0.20    -0.10     0.20   0.0000
2455       580.02  1210.78    20.01     0.20     1.45     0.20     1.91     0.20     2.03     0.20     0.49     0.20     0.21     0.20   0.0000
2457       320.70  1271.78    21.09     0.24     1.13     0.24     1.04     0.24     1.84     0.24     0.33     0.24     0.24     0.24   0.0000
2459      1818.41  1897.34    20.81     0.20     1.11     0.20     1.29     0.20     1.22     0.20     0.97     0.20     0.38     0.20   0.0000
2460       386.99  1436.22    20.80     0.16     1.21     0.16     1.22     0.16     1.49     0.16     0.81     0.16     0.19     0.16   0.0000
2461       890.00  1122.32    20.67     0.22     0.92     0.22     1.28     0.22     1.76     0.22     0.74     0.22    -0.10     0.22   0.0000
2462       266.44    72.11    19.81     0.21     0.74     0.21     0.68     0.21     0.90     0.21     0.15     0.21    -0.02     0.21   0.0000
2463      1043.15   231.32    21.12     0.21     1.52     0.21     1.11     0.21     1.80     0.21     0.74     0.21     0.17     0.21   0.0000
2465      1328.65  1114.60    20.08     0.21     0.92     0.21     0.99     0.21     1.42     0.21     0.41     0.21     0.30     0.21   0.0000
2466      1214.75  1161.55    20.52     0.20     2.22     0.20     2.30     0.20     2.97     0.20    -0.06     0.20     0.45     0.20   0.0000
2467       337.71  1418.13    19.43     0.13     0.58     0.13     0.93     0.13     0.76     0.13     0.50     0.13     0.09     0.13   0.0000
2468       494.67   584.67    20.27     0.17     0.84     0.17     1.44     0.17     0.97     0.17     0.65     0.17     0.20     0.17   0.0000
2469       211.29  1337.39    20.32     0.19     1.18     0.19     1.33     0.19     1.72     0.19     0.50     0.19     0.48     0.19   0.0000
2471       667.56  1128.55    20.93     0.29     2.50     0.29     2.00     0.29     2.41     0.29     0.04     0.29    -0.11     0.29   0.0000
2472       325.15   255.18    19.77     0.17     0.83     0.17     1.02     0.17     1.28     0.17     0.86     0.17     0.38     0.17   0.0000
2475        48.33   579.83    20.36     0.21     0.66     0.21     1.39     0.21     1.62     0.21     0.75     0.21    -0.05     0.21   0.0000
2476       652.73   510.90    19.81     0.18     0.29     0.18     0.45     0.18     1.14     0.18     0.21     0.18     0.03     0.18   0.0000
2479      1862.97  1383.71    20.99     0.24     1.52     0.24     1.72     0.24     2.29     0.24     1.05     0.24     0.41     0.24   0.0000
2480      1840.71  1623.40    19.50     0.13     0.58     0.13     0.60     0.13     1.38     0.13     0.29     0.13     0.08     0.13   0.0000
2481      1688.24   515.22    20.84     0.24     1.45     0.24     1.40     0.24     2.10     0.24     0.74     0.24     0.44     0.24   0.0000
2482       312.75  1856.46    19.78     0.20     1.11     0.20     0.57     0.20     1.03     0.20     0.63     0.20    -0.19     0.20   0.0000
2483        87.12  1643.80    20.71     0.22     1.68     0.22     1.90     0.22     2.01     0.22     0.44     0.22     0.17     0.22   0.0000
2488       710.66  2007.30    20.19     0.14     0.67     0.14     1.12     0.14     1.39     0.14     0.48     0.14     0.23     0.14   0.0000
2489        71.78   624.74    19.21     0.23     0.36     0.23     0.48     0.23     0.84     0.23    -0.02     0.23     0.08     0.23   0.0000
2490        14.69  1530.90    20.93     0.24     1.24     0.24     1.44     0.24     1.67     0.24     0.49     0.24     0.11     0.24   0.0000
2491        93.95  1422.10    20.02     0.17     1.13     0.17     0.91     0.17     1.55     0.17     0.81     0.17     0.22     0.17   0.0000
2492      1601.14  1447.19    19.57     0.18     0.25     0.18     0.68     0.18     0.76     0.18     0.11     0.18     0.25     0.18   0.0000
2493       454.56  1571.73    19.77     0.23     1.04     0.23     0.71     0.23     1.45     0.23     0.55     0.23     0.57     0.23   0.0000
2494        59.20   183.54    20.65     0.25     1.09     0.25     1.57     0.25     2.27     0.25     0.62     0.25     0.39     0.25   0.0000
2497       918.90   246.26    19.14     0.16     0.09     0.16     0.78     0.16     0.68     0.16     0.38     0.16     0.13     0.16   0.0000
2498      1649.93  1030.95    20.60     0.27     2.14     0.27     2.04     0.27     2.88     0.27     0.00     0.27     0.10     0.27   0.0000
2499       196.79  1782.54    20.51     0.20     1.24     0.20     1.28     0.20     1.11     0.20     0.97     0.20     0.04     0.20   0.0000
2502      1766.97   518.13    20.70     0.25     2.08     0.25     1.81     0.25     2.10     0.25     0.72     0.25     0.50     0.25   0.0000
2503       977.24  1590.35    20.41     0.20     0.67     0.20     1.36     0.20     1.45     0.20     0.24     0.20     0.24     0.20   0.0000
2504       384.59  1338.37    19.68     0.16     0.30     0.16     0.77     0.16     0.87     0.16     0.26     0.16     0.24     0.16   0.0000
2506      1661.95   629.71    20.98     0.26     0.82     0.26     1.13     0.26     1.78     0.26     1.10     0.26     0.13     0.26   0.0000
2508      1047.15    11.85    18.45     0.09    -0.16     0.09     0.16     0.09     0.58     0.09    -0.03     0.09     0.09     0.09   0.0000
2511       926.29   740.17    19.70     0.19     1.10     0.19     0.76     0.19     1.55     0.19     0.38     0.19     0.40     0.19   0.0000
2512       888.66  1850.90    20.84     0.26     1.26     0.26     1.69     0.26     2.29     0.26     0.76     0.26     0.40     0.26   0.0000
2513       687.87   612.02    18.59     0.17     0.28     0.17     0.28     0.17     0.74     0.17     0.21     0.17     0.33     0.17   0.0000
2517      1960.46   552.80    19.76     0.19     0.83     0.19     1.14     0.19     1.48     0.19     0.57     0.19     0.44     0.19   0.0000
2521       374.23   273.74    20.64     0.20     1.25     0.20     1.29     0.20     1.78     0.20     0.34     0.20     0.40     0.20   0.0000
2522        34.43   713.54    19.16     0.17     0.22     0.17     0.49     0.17     0.46     0.17     0.41     0.17     0.32     0.17   0.0000
2525       194.49   658.25    19.33     0.16     0.37     0.16     0.62     0.16     1.29     0.16    -0.07     0.16    -0.05     0.16   0.0000
2526       215.75    75.93    20.28     0.14     0.74     0.14     0.94     0.14     1.22     0.14     0.32     0.14     0.57     0.14   0.0000
2527       632.47  1728.84    20.40     0.24     2.13     0.24     2.04     0.24     2.61     0.24     0.13     0.24     0.21     0.24   0.0000
2528      1613.68   365.80    20.85     0.19     1.97     0.19     2.04     0.19     2.48     0.19     0.35     0.19     0.20     0.19   0.0000
2530       667.05  1936.80    18.16     0.14    -0.60     0.14    -0.05     0.14     0.03     0.14    -0.36     0.14     0.35     0.14   0.0000
2534       497.61   655.26    20.79     0.24     0.74     0.24     1.65     0.24     1.84     0.24     0.91     0.24     0.41     0.24   0.0000
2535       562.13  1608.85    20.74     0.22     1.49     0.22     1.59     0.22     1.65     0.22     0.60     0.22     0.39     0.22   0.0000
2539       799.27  1501.81    20.52     0.18     0.60     0.18     0.82     0.18     1.33     0.18     0.40     0.18     0.55     0.18   0.0000
2540      1520.45  1371.25    21.12     0.25     1.12     0.25     1.46     0.25     2.22     0.25     0.83     0.25     0.46     0.25   0.0000
2542      1408.13  1804.59    19.38     0.14     0.12     0.14     0.61     0.14     0.60     0.14     0.34     0.14     0.36     0.14   0.0000
2543      1662.05   839.75    19.71     0.18     0.90     0.18     0.69     0.18     0.93     0.18     0.73     0.18     0.26     0.18   0.0000
2547      1208.90   500.28    20.50     0.21     1.11     0.21     1.10     0.21     1.57     0.21     0.73     0.21     0.29     0.21   0.0000
2552       957.70     5.79    20.40     0.23     1.14     0.23     1.43     0.23     1.85     0.23     0.75     0.23     0.17     0.23   0.0000
2553       893.77  1300.57    20.87     0.23     2.25     0.23     2.15     0.23     2.31     0.23     0.23     0.23     0.38     0.23   0.0000
2554      1709.52  1354.22    20.62     0.18     1.34     0.18     1.30     0.18     1.92     0.18     0.55     0.18     0.16     0.18   0.0000
2555      1430.22  1933.67    20.32     0.17     1.12     0.17     1.42     0.17     1.37     0.17     0.62     0.17     0.10     0.17   0.0000
2557       613.10   534.14    19.95     0.21     1.19     0.21     0.88     0.21     1.36     0.21     0.38     0.21     0.02     0.21   0.0000
2564       160.91   785.11    20.97     0.25     2.02     0.25     1.60     0.25     1.97     0.25     0.24     0.25     0.05     0.25   0.0000
2565       418.31  1765.56    18.47     0.13    -0.29     0.13    -0.18     0.13     0.08     0.13     0.04     0.13    -0.00     0.13   0.0000
2567       259.44   635.84    20.87     0.24     0.91     0.24     1.53     0.24     2.06     0.24     0.59     0.24     0.11     0.24   0.0000
2568       883.18   529.90    20.24     0.23     1.14     0.23     1.49     0.23     1.66     0.23     0.99     0.23     0.18     0.23   0.0000
2570       147.11   733.27    19.88     0.15     0.75     0.15     0.76     0.15     1.42     0.15     0.45     0.15     0.57     0.15   0.0000
2572      1873.57   202.93    20.50     0.25     0.96     0.25     1.46     0.25     1.65     0.25     0.62     0.25     0.33     0.25   0.0000
2573      1244.13  1772.34    20.50     0.23     1.31     0.23     1.13     0.23     2.02     0.23     0.38     0.23    -0.17     0.23   0.0000
2575       807.41  1911.53    20.78     0.17     1.49     0.17     1.58     0.17     2.11     0.17     0.54     0.17     0.24     0.17   0.0000
2576       722.40   977.13    20.87     0.20     1.49     0.20     1.40     0.20     1.68     0.20     0.49     0.20     0.18     0.20   0.0000
2577      1499.36  1737.83    20.25     0.19     1.54     0.19     1.58     0.19     2.11     0.19     0.33     0.19     0.20     0.19   0.0000
2578      1369.64   738.18    20.11     0.12     1.16     0.12     1.08     0.12     1.57     0.12     0.71     0.12     0.25     0.12   0.0000
2579      1086.75   608.96    20.52     0.21     0.93     0.21     1.48     0.21     1.29     0.21     0.52     0.21     0.42     0.21   0.0000
2580      1306.27  1371.83    20.54     0.22     1.03     0.22     1.40     0.22     1.92     0.22     0.79     0.22     0.76     0.22   0.0000
2581       543.56  1257.48    20.62     0.20     1.42     0.20     1.14     0.20     1.94     0.20     0.51     0.20    -0.11     0.20   0.0000
2582      1413.41   648.51    20.70     0.23     1.29     0.23     1.15     0.23     1.85     0.23     0.84     0.23     0.41     0.23   0.0000
2583      1661.50  1647.39    20.71     0.24     1.21     0.24     1.38     0.24     1.96     0.24     0.99     0.24     0.50     0.24   0.0000
2586      1813.52  1366.36    18.93     0.14     0.16     0.14     0.52     0.14     0.69     0.14    -0.03     0.14     0.23     0.14   0.0000
2587      1755.00   290.96    20.39     0.21     1.78     0.21     1.83     0.21     2.31     0.21     0.17     0.21     0.49     0.21   0.0000
2591      1067.60   238.87    20.17     0.21     1.52     0.21     1.49     0.21     1.98     0.21     0.25     0.21     0.39     0.21   0.0000
2594       571.68   237.90    19.58     0.18     0.50     0.18     0.60     0.18     0.43     0.18     0.37     0.18     0.34     0.18   0.0000
2595       984.67    16.79    20.43     0.24     2.25     0.24     2.60     0.24     3.17     0.24    -0.36     0.24     0.12     0.24   0.0000
2597      1525.36   134.57    19.97     0.20     0.52     0.20     0.63     0.20     0.91     0.20     0.19     0.20    -0.15     0.20   0.0000
2598      1383.28  1171.97    20.13     0.16     0.98     0.16     0.86     0.16     1.40     0.16     0.52     0.16     0.21     0.16   0.0000
2599       531.59   181.77    20.07     0.24     1.07     0.24     1.22     0.24     1.76     0.24     0.21     0.24     0.21     0.24   0.0000
2601      1582.12  1982.10    19.81     0.15     0.87     0.15     0.98     0.15     1.30     0.15     0.46     0.15    -0.13     0.15   0.0000
2603      1470.90  1653.13    19.89     0.21     0.51     0.21     0.56     0.21     1.04     0.21    -0.00     0.21     0.29     0.21   0.0000
2605      1591.49    10.70    21.44     0.22     1.54     0.22     1.48     0.22     2.16     0.22     0.36     0.22    -0.14     0.22   0.0000
2606      1114.56  1842.66    20.65     0.25     1.43     0.25     1.36     0.25     1.47     0.25     0.67     0.25     0.18     0.25   0.0000
2607       371.42    38.40    18.94     0.13    -0.35     0.13     0.11     0.13     0.18     0.13    -0.06     0.13     0.11     0.13   0.0000
2614      1295.58   665.70    20.80     0.26     0.87     0.26     1.09     0.26     1.57     0.26     0.41     0.26     0.04     0.26   0.0000
2621       461.04  1780.71    19.33     0.17    -0.21     0.17     0.30     0.17     0.15     0.17     0.22     0.17     0.24     0.17   0.0000
2622      1901.76   771.74    19.76     0.20     0.25     0.20     0.40     0.20     0.97     0.20     0.44     0.20    -0.11     0.20   0.0000
2631      1864.92   497.66    19.55     0.13     0.26     0.13     0.29     0.13     1.19     0.13     0.12     0.13     0.16     0.13   0.0000
2643       951.21   431.43    20.59     0.22     0.80     0.22     1.02     0.22     1.36     0.22     0.63     0.22     0.34     0.22   0.0000
2644      1989.91   543.92    20.36     0.19     0.54     0.19     0.57     0.19     0.93     0.19     0.52     0.19     0.38     0.19   0.0000
2647       935.17   456.10    21.27     0.18     1.20     0.18     1.14     0.18     1.90     0.18     1.12     0.18     0.35     0.18   0.0000
2648        45.84  1312.62    20.46     0.20     0.72     0.20     0.80     0.20     1.10     0.20     0.71     0.20     0.17     0.20   0.0000
2649      1237.20  1014.13    19.64     0.17     0.12     0.17     0.58     0.17     0.83     0.17     0.02     0.17     0.40     0.17   0.0000
2650      1717.09   821.32    19.48     0.17     0.12     0.17     0.10     0.17     0.73     0.17     0.12     0.17     0.13     0.17   0.0000
2651        87.59   674.08    21.57     0.25     1.27     0.25     0.98     0.25     1.46     0.25     0.58     0.25     0.09     0.25   0.0000
2652       704.35  1770.59    20.77     0.20     0.87     0.20     0.94     0.20     1.26     0.20     0.74     0.20     0.28     0.20   0.0000
2664      1480.36  1060.89    19.75     0.13     0.42     0.13     0.51     0.13     0.98     0.13     0.51     0.13     0.16     0.13   0.0000
2665       390.21   514.48    20.47     0.21     0.30     0.21     0.27     0.21     0.78     0.21     0.23     0.21     0.44     0.21   0.0000
2667       681.31   923.33    21.18     0.24     0.93     0.24     0.58     0.24     1.98     0.24     0.67     0.24     0.58     0.24   0.0000
2670       268.28  1198.16    19.85     0.17     0.38     0.17     0.51     0.17     0.84     0.17     0.39     0.17     0.05     0.17   0.0000
2671       705.71   796.99    20.11     0.22     0.49     0.22     0.99     0.22     1.10     0.22     0.57     0.22     0.07     0.22   0.0000
2673       976.23   573.94    20.49     0.20     0.60     0.20     0.53     0.20     1.06     0.20     0.18     0.20     0.03     0.20   0.0000
2674      1417.47  1647.68    20.38     0.20     0.70     0.20     0.67     0.20     1.32     0.20     0.57     0.20     0.32     0.20   0.0000
2675       350.44  1280.94    21.29     0.25     0.78     0.25     1.03     0.25     1.86     0.25     0.55     0.25    -0.17     0.25   0.0000
2680      1694.58    79.93    20.79     0.19     1.10     0.19     1.22     0.19     1.76     0.19     0.46     0.19     0.08     0.19   0.0000
2682      1349.22  1140.95    19.55     0.09     0.15     0.09     0.21     0.09     0.69     0.09     0.10     0.09     0.19     0.09   0.0000
2683      1112.37  1208.01    20.11     0.22     0.93     0.22     0.57     0.22     1.07     0.22     0.35     0.22    -0.11     0.22   0.0000
2684      1239.28  2009.37    19.71     0.14     0.44     0.14     0.43     0.14     0.87     0.14     0.17     0.14     0.28     0.14   0.0000
2687       538.09   910.27    21.05     0.24     0.64     0.24     1.23     0.24     1.07     0.24     0.13     0.24     0.32     0.24   0.0000
2693       715.80  1230.03    20.09     0.21     0.24     0.21     0.40     0.21     0.82     0.21     0.22     0.21     0.36     0.21   0.0000
2695      1075.59   150.75    19.93     0.23     0.86     0.23     0.66     0.23     1.07     0.23     0.27     0.23     0.25     0.23   0.0000
2696      1463.25  1966.86    20.74     0.22     1.50     0.22     0.76     0.22     1.40     0.22     1.05     0.22     0.13     0.22   0.0000
2698      1917.51   463.62    20.89     0.25     2.76     0.25     2.28     0.25     2.61     0.25    -0.39     0.25     0.14     0.25   0.0000
2699        56.59  1450.13    20.12     0.13     0.51     0.13     0.46     0.13     1.29     0.13     0.55     0.13     0.28     0.13   0.0000
2702       978.74   483.53    18.71     0.14    -0.45     0.14     0.09     0.14     0.47     0.14    -0.37     0.14    -0.01     0.14   0.0000
2703        40.80  1407.30    20.78     0.26     0.66     0.26     0.89     0.26     1.27     0.26     0.79     0.26     0.11     0.26   0.0000
2705      1625.28  1180.74    20.96     0.27     1.94     0.27     2.24     0.27     2.81     0.27     0.39     0.27     0.40     0.27   0.0000
2706      1292.12   257.47    19.89     0.19     0.07     0.19     0.13     0.19     0.28     0.19     0.27     0.19     0.28     0.19   0.0000
2710      1583.79   405.88    20.96     0.23     1.07     0.23     1.12     0.23     1.78     0.23     0.64     0.23     0.24     0.23   0.0000
2713      1282.99  1735.14    20.61     0.26     1.28     0.26     1.08     0.26     1.86     0.26     0.64     0.26     0.10     0.26   0.0000
2715      1410.43  1886.47    21.12     0.22     1.42     0.22     1.16     0.22     1.68     0.22     0.60     0.22     0.72     0.22   0.0000
2720      1965.44  1236.80    18.70     0.15    -0.50     0.15     0.06     0.15     0.27     0.15    -0.01     0.15     0.19     0.15   0.0000
2722      1999.63  1623.23    21.12     0.27     0.94     0.27     1.39     0.27     1.49     0.27     0.71     0.27     0.32     0.27   0.0000
2728      1131.68  1973.84    21.50     0.28     1.20     0.28     1.50     0.28     2.49     0.28     0.51     0.28     0.62     0.28   0.0000
2731      1180.36   370.63    20.22     0.19     0.36     0.19     0.47     0.19     1.20     0.19     0.28     0.19     0.07     0.19   0.0000
2732       583.80   636.94    21.20     0.21     2.93     0.21     2.48     0.21     3.17     0.21     0.24     0.21     0.15     0.21   0.0000
2733       454.52  1445.73    18.57     0.12    -0.41     0.12    -0.03     0.12     0.20     0.12     0.20     0.12     0.09     0.12   0.0000
2736      1790.01  1530.36    18.99     0.15    -0.00     0.15     0.34     0.15     0.64     0.15     0.19     0.15     0.32     0.15   0.0000
2738      1158.59   659.92    19.69     0.17     0.53     0.17     0.40     0.17     0.69     0.17     0.42     0.17     0.20     0.17   0.0000
2742       628.78  1685.62    20.67     0.23     0.78     0.23     0.86     0.23     1.32     0.23     0.52     0.23     0.14     0.23   0.0000
2743      1790.73   615.17    21.29     0.19     1.47     0.19     1.61     0.19     2.03     0.19     1.05     0.19     0.30     0.19   0.0000
2745      1786.10  1991.69    21.11     0.20     1.05     0.20     1.10     0.20     1.23     0.20     0.60     0.20     0.22     0.20   0.0000
2752      1342.91  1701.31    19.52     0.16     0.04     0.16     0.39     0.16     0.39     0.16     0.24     0.16     0.06     0.16   0.0000
2755      1613.83    15.42    20.12     0.21     0.27     0.21     0.68     0.21     0.66     0.21     0.07     0.21     0.43     0.21   0.0000
2759       658.56   286.52    19.51     0.16     0.03     0.16     0.29     0.16     0.63     0.16     0.48     0.16     0.08     0.16   0.0000
2777       135.42   540.97    19.19     0.18    -0.24     0.18     0.14     0.18     0.58     0.18     0.30     0.18     0.16     0.18   0.0000
2779      1613.39   412.82    19.20     0.12    -0.36     0.12    -0.19     0.12     0.07     0.12    -0.24     0.12     0.13     0.12   0.0000
2781       525.59  1907.54    20.24     0.15    -0.07     0.15     0.20     0.15     0.89     0.15     0.54     0.15     0.24     0.15   0.0000
2795        26.06   431.12    21.13     0.30     0.66     0.30     0.36     0.30     1.50     0.30     0.65     0.30     0.45     0.30   0.0000
2805      1701.42   768.58    20.93     0.24     0.50     0.24     0.95     0.24     1.45     0.24     0.83     0.24     0.15     0.24   0.0000
2806       598.37   510.18    20.05     0.17     0.15     0.17     0.30     0.17     0.87     0.17     0.55     0.17     0.06     0.17   0.0000
2807       281.68   807.35    20.40     0.16     0.29     0.16     0.88     0.16     1.00     0.16     0.88     0.16     0.28     0.16   0.0000
2821      1608.05  1239.76    19.89     0.19    -0.56     0.19     0.40     0.19     0.38     0.19    -0.15     0.19     0.28     0.19   0.0000
2832      1535.13   422.41    19.36     0.15    -0.51     0.15     0.37     0.15     0.54     0.15     0.17     0.15     0.15     0.15   0.0000
2833       641.34   390.05    21.31     0.27     1.37     0.27     1.45     0.27     1.11     0.27     0.51     0.27     0.59     0.27   0.0000
2834      1956.13  1752.93    21.10     0.30     0.66     0.30     1.25     0.30     1.65     0.30     0.94     0.30     0.57     0.30   0.0000
2838       332.63   908.17    19.83     0.15    -0.01     0.15     0.28     0.15     0.48     0.15    -0.10     0.15     0.30     0.15   0.0000
2840        63.47  1544.04    20.70     0.15     0.70     0.15     0.85     0.15     1.41     0.15     0.35     0.15     0.01     0.15   0.0000
2863      1602.06  1438.88    19.82     0.17     0.33     0.17     0.17     0.17     0.89     0.17     0.12     0.17     0.17     0.17   0.0000
2865       919.72   696.71    19.33     0.12    -0.47     0.12    -0.28     0.12     0.25     0.12     0.23     0.12     0.13     0.12   0.0000
2866       579.78  1338.55    20.46     0.20     0.25     0.20     0.60     0.20     1.09     0.20     0.23     0.20    -0.23     0.20   0.0000
2875      1679.54  1633.90    20.68     0.19     0.26     0.19     0.60     0.19     1.25     0.19     0.34     0.19     0.32     0.19   0.0000
2880      1553.04   632.44    20.10     0.12     0.11     0.12     0.03     0.12     0.62     0.12     0.31     0.12     0.21     0.12   0.0000
2888       742.89  1839.11    20.71     0.16     0.38     0.16     0.51     0.16     1.19     0.16     0.52     0.16     0.27     0.16   0.0000
2890       623.46   301.25    20.54     0.28     0.19     0.28     0.22     0.28     0.85     0.28     0.31     0.28    -0.05     0.28   0.0000
2894       907.93  1381.48    21.07     0.30     0.91     0.30     0.88     0.30     1.43     0.30     0.73     0.30     0.03     0.30   0.0000
2900      1732.67  1658.99    20.38     0.22     0.12     0.22    -0.23     0.22     0.91     0.22     0.63     0.22     0.20     0.22   0.0000
2902      1276.14  1849.51    20.43     0.21     0.22     0.21     0.34     0.21     1.20     0.21     0.62     0.21     0.13     0.21   0.0000
2903       192.72   796.18    20.43     0.18    -0.28     0.18    -0.25     0.18     0.35     0.18     0.70     0.18     0.36     0.18   0.0000
2906      1081.26  1057.11    20.19     0.21    -0.09     0.21     0.09     0.21     0.34     0.21     0.07     0.21     0.64     0.21   0.0000
2908       237.20  1933.01    20.43     0.24     0.49     0.24     0.62     0.24     1.03     0.24     0.61     0.24    -0.08     0.24   0.0000
2911       386.45   978.49    20.75     0.19    -0.35     0.19     0.24     0.19     1.03     0.19     0.35     0.19     0.13     0.19   0.0000
2913       252.41  1749.00    20.46     0.20    -0.30     0.20     0.04     0.20     0.25     0.20     0.25     0.20     0.19     0.20   0.0000
2914      1451.24   976.10    20.24     0.17    -0.13     0.17    -0.30     0.17     0.33     0.17     0.16     0.17     0.21     0.17   0.0000
2920      1678.07  1263.78    20.30     0.23     0.33     0.23     0.26     0.23     1.09     0.23     0.85     0.23    -0.04     0.23   0.0000
2921      2019.52  1929.32    20.53     0.27     0.31     0.27     0.35     0.27     0.67     0.27     0.17     0.27     0.17     0.27   0.0000
2923       866.66  1351.50    20.51     0.23    -0.49     0.23    -0.11     0.23     0.66     0.23     0.21     0.23     0.45     0.23   0.0000
2931      1984.28  1118.61    20.45     0.24    -0.01     0.24     0.17     0.24     0.77     0.24     0.90     0.24     0.05     0.24   0.0000
